rouge1,rouge2,rouge3,rouge4,rougeL
0.4111111111111111,0.1797752808988764,0.09090909090909091,0.022988505747126436,0.3111111111111111
0.46153846153846156,0.14285714285714285,0.05263157894736842,0.0,0.28205128205128205
0.37362637362637363,0.12222222222222222,0.011235955056179775,0.0,0.13186813186813187
0.2077922077922078,0.09210526315789473,0.05333333333333334,0.02702702702702703,0.14285714285714285
0.2708333333333333,0.14736842105263157,0.09574468085106383,0.06451612903225806,0.20833333333333334
0.3611111111111111,0.18309859154929578,0.1,0.057971014492753624,0.20833333333333334
0.48623853211009177,0.17592592592592593,0.08411214953271028,0.03773584905660377,0.29357798165137616
0.3026315789473684,0.09333333333333334,0.02702702702702703,0.0,0.19736842105263158
0.3114754098360656,0.05,0.0,0.0,0.14754098360655737
0.3333333333333333,0.13559322033898305,0.05172413793103448,0.017543859649122806,0.2
0.421875,0.15873015873015872,0.04838709677419355,0.0,0.21875
0.44642857142857145,0.23636363636363636,0.1111111111111111,0.05660377358490566,0.2857142857142857
0.36666666666666664,0.21348314606741572,0.14772727272727273,0.11494252873563218,0.2222222222222222
0.42857142857142855,0.18072289156626506,0.10975609756097561,0.08641975308641975,0.23809523809523808
0.4342105263157895,0.22666666666666666,0.0945945945945946,0.0684931506849315,0.3026315789473684
0.3125,0.08860759493670886,0.0,0.0,0.1875
0.43137254901960786,0.3465346534653465,0.31,0.29292929292929293,0.37254901960784315
0.36538461538461536,0.1568627450980392,0.04,0.0,0.25
0.36893203883495146,0.24509803921568626,0.22772277227722773,0.21,0.2815533980582524
0.4807692307692308,0.2912621359223301,0.20588235294117646,0.1485148514851485,0.40384615384615385
0.38596491228070173,0.21428571428571427,0.16363636363636364,0.12962962962962962,0.2807017543859649
0.3220338983050847,0.1206896551724138,0.05263157894736842,0.017857142857142856,0.23728813559322035
0.367816091954023,0.19767441860465115,0.11764705882352941,0.07142857142857142,0.22988505747126436
0.35106382978723405,0.06451612903225806,0.0,0.0,0.1595744680851064
0.3563218390804598,0.1511627906976744,0.09411764705882353,0.05952380952380952,0.1724137931034483
0.2916666666666667,0.15492957746478872,0.07142857142857142,0.014492753623188406,0.2222222222222222
0.2413793103448276,0.08139534883720931,0.03529411764705882,0.011904761904761904,0.11494252873563218
0.5454545454545454,0.2153846153846154,0.125,0.06349206349206349,0.30303030303030304
0.3855421686746988,0.18292682926829268,0.09876543209876543,0.0625,0.25301204819277107
0.2571428571428571,0.057971014492753624,0.0,0.0,0.15714285714285714
0.46987951807228917,0.3170731707317073,0.19753086419753085,0.15,0.3373493975903614
0.3764705882352941,0.13095238095238096,0.08433734939759036,0.06097560975609756,0.2235294117647059
0.6119402985074627,0.48484848484848486,0.4153846153846154,0.375,0.34328358208955223
0.46875,0.22105263157894736,0.13829787234042554,0.10752688172043011,0.23958333333333334
0.5978260869565217,0.21978021978021978,0.1,0.0449438202247191,0.34782608695652173
0.2777777777777778,0.102803738317757,0.05660377358490566,0.009523809523809525,0.16666666666666666
0.42391304347826086,0.2967032967032967,0.23333333333333334,0.19101123595505617,0.358695652173913
0.3181818181818182,0.046153846153846156,0.0,0.0,0.21212121212121213
0.23880597014925373,0.15151515151515152,0.13846153846153847,0.125,0.23880597014925373
0.42028985507246375,0.19117647058823528,0.13432835820895522,0.12121212121212122,0.3333333333333333
0.3472222222222222,0.09859154929577464,0.02857142857142857,0.0,0.16666666666666666
0.5,0.3384615384615385,0.28125,0.23809523809523808,0.45454545454545453
0.5121951219512195,0.25925925925925924,0.175,0.12658227848101267,0.23170731707317074
0.6129032258064516,0.4,0.2413793103448276,0.17857142857142858,0.5806451612903226
0.3448275862068966,0.22807017543859648,0.10714285714285714,0.03636363636363636,0.27586206896551724
0.3563218390804598,0.18604651162790697,0.11764705882352941,0.05952380952380952,0.21839080459770116
0.625,0.42857142857142855,0.3064516129032258,0.22950819672131148,0.421875
0.5277777777777778,0.28169014084507044,0.15714285714285714,0.07246376811594203,0.4027777777777778
0.40217391304347827,0.21978021978021978,0.1111111111111111,0.056179775280898875,0.2391304347826087
0.4492753623188406,0.22058823529411764,0.08955223880597014,0.045454545454545456,0.2753623188405797
